6,1-Propan,13,COOH,244.4,728.7
6,1-Propan,14,COOC,19.57,-76.64
6,1-Propan,15,CH2CO,1970,-218.1
6,1-Propan,16,CCl,-166.4,351.5
6,1-Propan,17,CCl2,128.6,-186.1
6,1-Propan,18,CCl3,1544,-465.7
6,1-Propan,19,CCl4,224.6,-260.3
6,1-Propan,23,CNO2,150.8,264.7
7,2-Propan,8,H2O,5.89,104.9
7,2-Propan,9,ACOH,-153.2,-547.2
7,2-Propan,10,CH2CO,353.8,-127.6
7,2-Propan,11,CHO,-338.6,231.4
7,2-Propan,12,Furfural,-241.8,732.3
7,2-Propan,13,COOH,-57.98,349.1
7,2-Propan,14,COOC,487.1,-152.8
7,2-Propan,15,CH2CO,1970,-218.1
7,2-Propan,16,CCl,-166.4,351.5
7,2-Propan,17,CCl2,507.8,-401.6
7,2-Propan,18,CCl3,1544,-465.7
7,2-Propan,19,CCl4,-207,512.2
7,2-Propan,23,CNO2,150.8,264.7
8,H2O,9,ACOH,344.5,-595.9
8,H2O,10,CH2CO,-171.8,634.8
8,H2O,11,CHO,-349.9,623.7
8,H2O,12,Furfural,66.95,211.6
8,H2O,13,COOH,-465.7,652.3
8,H2O,14,COOC,-6.32,385.9
8,H2O,15,CH2CO,64.42,212.8
8,H2O,16,CCl,315.9,770
8,H2O,17,CCl2,370.7,740.4
8,H2O,18,CCl3,356.8,793.2
8,H2O,19,CCl4,502.9,1205
8,H2O,20,ACCl,-97.27,390.7
8,H2O,21,CCN,198.3,63.48
8,H2O,22,ACNH2,-109.8,-239.8
8,H2O,23,CNO2,1539,13.32
8,H2O,24,ACNO2,32.92,439.9
8,H2O,25,DOH,-269.2,-424.3
8,H2O,27,PYR,-873.6,203
8,H2O,28,TCE,1429,1153
8,H2O,29,MFA,-364.2,-311
8,H2O,30,DMFA,-117.4,-262.6
8,H2O,31,TMS,18.41,1.11
9,ACOH,10,CH2CO,-825.7,-568
9,ACOH,14,COOC,-898.3,-337.3
9,ACOH,19,CCl4,4894,1616
9,ACOH,22,ACNH2,-851.6,-860.3
9,ACOH,24,ACNO2,-16.13,-230.4
9,ACOH,25,DOH,-538.6,523
9,ACOH,27,PYR,-637.3,-222.7
10,CH2CO,11,CHO,-37.36,128
10,CH2CO,12,Furfural,120.3,48.93
10,CH2CO,13,COOH,1247,-101.3
10,CH2CO,14,COOC,258.7,58.84
10,CH2CO,15,CH2CO,5.202,52.38
10,CH2CO,16,CCl,1000,483.9
10,CH2CO,17,CCl2,-301,550.6
10,CH2CO,18,CCl3,12.01,342.2
10,CH2CO,19,CCl4,-10.88,550
10,CH2CO,20,ACCl,902.6,190.5
10,CH2CO,21,CCN,430.6,-349.2
10,CH2CO,22,ACNH2,1010,857.7
10,CH2CO,23,CNO2,400,377
10,CH2CO,24,ACNO2,-328.6,211.6
10,CH2CO,25,DOH,211.6,82.77
10,CH2CO,28,TCE,148,417.4
11,CHO,12,Furfural,1724,-311.6
11,CHO,13,COOH,0.75,1051
11,CHO,14,COOC,-245.8,1090
11,CHO,16,CCl,751.8,-47.51
12,Furfural,13,COOH,1919,-115.7
12,Furfural,14,COOC,57.7,-46.13
12,Furfural,17,CCl2,-347.9,808.8
12,Furfural,18,CCl3,-249.3,203.1
12,Furfural,19,CCl4,61.59,70.14
12,Furfural,25,DOH,-278.2,-75.23
12,Furfural,27,PYR,-208.4,-201.9
12,Furfural,28,TCE,-13.91,123.2
12,Furfural,30,DMFA,173.8,-281.9
13,COOH,14,COOC,-117.6,1417
13,COOH,15,CH2CO,-96.62,1402
13,COOH,16,CCl,19.77,337.1
13,COOH,17,CCl2,1670,437.7
13,COOH,18,CCl3,48.15,370.4
13,COOH,19,CCl4,43.83,438.1
13,COOH,20,ACCl,874.3,1349
13,COOH,22,ACNH2,942.2,681.4
13,COOH,23,CNO2,446.3,152.4
13,COOH,25,DOH,572.7,-1707
13,COOH,28,TCE,-2.16,639.7
14,COOC,15,CH2CO,-235.7,461.3
14,COOC,17,CCl2,108.9,-132.9
14,COOC,18,CCl3,-209.7,176.5
14,COOC,19,CCl4,54.57,129.5
14,COOC,20,ACCl,629,-246.3
14,COOC,21,CCN,-149.2,2.41
14,COOC,25,DOH,343.1,29.86
15,CH2CO,16,CCl,301.1,225.4
15,CH2CO,17,CCl2,137.8,-197.7
15,CH2CO,18,CCl3,-154.3,-20.93
15,CH2CO,19,CCl4,47.67,113.9
15,CH2CO,23,CNO2,95.18,-94.49
16,CCl,17,CCl2,110.5,-21.35
16,CCl,18,CCl3,249.2,-157.1
16,CCl,19,CCl4,62.42,11.8
17,CCl2,19,CCl4,56.33,17.97
18,CCl3,19,CCl4,-30.1,51.9
18,CCl3,21,CCN,70.04,-15.62
18,CCl3,22,ACNH2,-75.5,-216.3
18,CCl3,27,PYR,18.98,-114.7
19,CCl4,20,ACCl,475.8,-255.4
19,CCl4,21,CCN,492,-54.86
19,CCl4,22,ACNH2,1302,8455
19,CCl4,23,CNO2,490.9,-34.68
19,CCl4,24,ACNO2,534.7,514.6
20,ACCl,21,CCN,346.2,-465.2
20,ACCl,23,CNO2,-154.5,794.4
20,ACCl,25,DOH,124.8,-241.7
20,ACCl,27,PYR,-387.7,-906.5
21,CCN,27,PYR,134.3,-169.7
22,ACNH2,24,ACNO2,0,175.8
22,ACNH2,25,DOH,125.3,164.4
22,ACNH2,27,PYR,924.5,-944.9
23,CNO2,25,DOH,139.8,481.3
24,ACNO2,25,DOH,963,-246
