'UNIFAC group parameters,,,,,,
'ID,SUB_ID,Main groups,Group,Rk,Qk,example,picture,JobackGroups,Elements
21,45,CCl,CH2Cl,1.4654,1.264,1-Chlorobutane: 1*CH3 2*CH2 1*CH2Cl,1-Chlorobutane,1:2/1:17//,
21,46,CCl,CHCl,1.238,0.952,2-Chloropropane: 2*CH3 1*CHCl,2-Chloropropane,1:3/1:17//,
21,47,CCl,CCl,1.0106,0.724,Tert-Butylchloride: 2*CH3 1*CCl,Tertbutylchloride,1:4/1:17//,
22,48,CCl2,CH2Cl2,2.2564,1.998,Dichloromethane: 1*CH2Cl2,Dichloromethane,1:2/2:17//,
22,49,CCl2,CHCl2,2.0606,1.684,1-1-dichloroethane: 1*CH3 1*CHCl2,1-1-Dichloroethane,1:3/2:17//,
22,50,CCl2,CCl2,1.8016,1.448,2-2-Dichloropropane: 2*CH3 1*CCl2,2-2-Dichloropropane,1:4/2:17//,
23,51,CCl3,CHCl3,2.87,2.41,chloroform: 1*CHCl3,Chloroform,1:3/3:17//,
23,52,CCl3,CCl3,2.6401,2.184,1-1-1-trichloroethane: 1*CH3 1*CCl3,Trichloroethane,1:4/3:17//,
24,53,CCl4,CCl4,3.39,2.91,Tetrachloromethane: 1*CCl4,Tetrachloromethane,1:4/4:17//,
25,54,ACCl,ACCl,1.1562,0.844,Chlorobenzene: 5*ACH 1*ACCl,Chlorobenzene,1:15/1:17//,
26,55,CNO2,CH3NO2,2.0086,1.868,Nitromethane: 1*CH3NO2,Nitromethane,1:1/1:38//,
26,56,CNO2,CH2NO2,1.7818,1.56,1-Nitropropane: 1*CH3 1*CH2 1*CH2NO2,1-Nitropropane,1:2/1:38//,
26,57,CNO2,CHNO2,1.5544,1.248,2-Nitropropane: 2*CH3 1*CHNO2,2-Nitropropane,1:3/1:38//,
27,58,ACNO2,ACNO2,1.4199,1.104,Nitrobenzene: 5*ACH 1*ACNO2,Nitrobenzene,1:15/1:38//,
28,59,CS2,CS2,2.057,1.65,Carbondisulphide: 1*CS2,Carbondisulfide,1:8/2:40//,
29,60,CH3SH,CH3SH,1.877,1.676,Methanethiol: 1*CH3SH,Methanethiol,1:1/1:39//,
