===  CHEMSEP 2  === Copyright 1992 Harry Kooijman and Ross Taylor / Interaction Parameters Data (IPD) / DECHEMA NRTL at P=1atm. Data: ID1, ID2, A12, A21, alpha12, comments Comment=DECHEMA NRTL data @ 1atm. Units=cal/mol
5;1101;1440.1498;1053.7716;0.4647;Butane/Methanol p126 1/2c
7;1102;1183.3812;412.7546;0.2886;Pentane/Ethanol p376 1/2c
8;1102;1610.2811;935.1426;0.496;2-Methylbutane/Ethanol p373 1/2c
11;1102;1218.1065;575.2985;0.2882;Hexane/Ethanol p437 1/2c
11;1103;1092.147;480.674;0.294;Hexane/1-Propanol p550 1/2c
137;1103;1707.7883;353.2705;0.5914;Cyclohexane/1-Propanol p542 1/2c
138;1181;2587.873;-439.4469;0.2836;MethylCycloHexane/Phenol p482 1/2d
207;1101;1333.6;556.3608;0.3697;Isobutylene/Methanol p105 1/2c
214;1101;1355.6853;660.9164;0.3381;2-Methyl-2-Butene/Methanol p154 1/2c
214;1102;1412.7516;674.7726;0.4569;2-Methyl-2-Butene/Ethanol p365 1/2c
216;1101;1222.6032;1145.1085;0.4402;1-Hexene/Methanol p212 1/2c
216;1102;1399.1806;949.7239;0.5011;1-Hexene/Ethanol p420 1/2c
302;1101;1353.0599;610.8292;0.467;1.3-Butadiene/Methanol p103 1/2c
305;1101;1545.3339;799.1289;0.4753;1.3-Pentadiene(CIS)/Methanol p147 1/2c
306;1101;1514.2761;782.1729;0.4657;Trans-1.3-Pentadiene/Methanol p148 1/2c
309;1101;1445.6425;543.527;0.426;Isoprene/Methanol p145 1/2c
309;1102;1402.5377;653.4866;0.5056;Isoprene/Ethanol p358 1/2c
315;1101;1541.9324;736.0352;0.4515;Cyclopentadiene/Methanol p144 1/2c
501;1103;874.2419;285.7774;0.2899;Benzene/1-Propanol p537 1/2c
501;1521;-227.3671;-86.1025;0.3062;Benzene/Chloroform 1/7
501;1181;373.4202;318.1885;0.2986;Benzene/Phenol p482 1/2d
501;502;60.198;-51.0865;0.3019;Benzene/Toluene p282 1/7
501;507;-50.2635;14.218;0.3056;Benzene/pXylene p310 1/7
501;1698;893.4167;-566.9011;0.255;1 Benzene/Tribromomethane p59 1/7
501;1760;273.5119;524.903;0.296;1 Benzene/Nitromethane p88 1/7
501;1542;-94.1122;288.6566;0.302;3 Benzene/Tetrachloroethylene p112 1/7
501;1541;140.5075;-127.4605;0.306;4 Benzene/Trichloroethylene p118 1/7
501;1590;-225.8274;197.746;0.303;0 Benzene/Pentachloroethane p119 1/7
501;1529;-73.7504;-250.7743;0.305;5 Benzene/1.1.2.2-tetrachloroethane p120 1/7
501;1772;-100.924;300.0048;0.304;6 Benzene/1.2-Dibromoethane p136 1/7
501;1523;58.8289;-39.5526;0.303;5 Benzene/1.2-Dichloroethane p158 1/7
501;2852;1512.9737;639.2332;0.523;1 Benzene/N-Methylformamide p161 1/7
501;1761;527.2886;-57.1531;0.3;4 Benzene/Nitroethane p163 1/7
501;1844;810.544;408.5646;0.669;1 Benzene/Dimethylsulfoxide p166 1/7
501;1741;490.0693;560.0207;0.295;7 Benzene/Ethylenediamine p170 1/7
501;1876;736.7867;-251.4046;0.307;4 Benzene/N.N-dimethylformamide p184 1/7
501;1762;-157.3069;595.6615;0.301;2 Benzene/1-Nitropropane p185 1/7
501;1763;1088.4773;-446.4137;0.306;8 Benzene/2-Nitropropane p186 1/7
501;1821;-347.2708;503.5971;0.304;5 Benzene/Thiophene p188 1/7
501;1791;541.0855;-319.8327;0.279;5 Benzene/Pyridine p221 1/7
501;1864;1085.4557;-715.7662;0.298;9 Benzene/Hexafluorobenzene p226 1/7
501;1574;1441.9721;-865.5699;0.283;0 Benzene/P-Dichlorobenzene p238 1/7
501;1680;1538.3464;-819.5924;0.321;4 Benzene/Bromobenzene p241 1/7
501;1571;700.4097;-450.6274;0.325;1 Benzene/Chlorobenzene p251 1/7
501;1860;277.6641;-292.2391;0.304;0 Benzene/Fluorobenzene p252 1/7
501;1886;1311.3264;-523.3212;0.311;0 Benzene/Nitrobenzene p254 1/7
501;1792;776.8671;-178.3464;0.299;0 Benzene/Aniline p266 1/7
501;1729;717.4228;-684.6315;0.29;8 Benzene/Cyclohexylamine p274 1/7
501;1706;130.6061;-27.3294;0.303;7 Benzene/Triethylamine p277 1/7
501;1790;1390.488;-636.1853;0.285;1 Benzene/Benzonitrile p278 1/7
501;502;111.1157;-121.2437;0.303;3 Benzene/Toluene p301 1/7
501;2731;52.3967;94.0417;0.302;0 Benzene/N-Methylcyclohexylamine p304 1/7
501;601;-643.5999;970.4264;0.311;0 Benzene/Styrene p305 1/7
501;504;-70.8372;57.0902;0.303;4 Benzene/Ethylbenzene p306 1/7
501;506;-454.1872;615.2806;0.287;8 Benzene/M-Xylene p307 1/7
501;507;-50.2635;14.218;0.305;6 Benzene/P-Xylene p310 1/7
501;1753;85.208;104.9548;0.301;9 Benzene/N.N-Diethylaniline p312 1/7
501;510;1915.7178;-810.5032;0.369;3 Benzene/Isopropylbenzene p322 1/7
501;509;-192.1433;141.5054;0.303;2 Benzene/Propylbenzene p323 1/7
501;560;64.1947;78.657;0.302;2 Benzene/M-Terphenyl p327 1/7
502;1521;-583.6169;629.2214;0.2974;Toluene/Chloroform p352 1/7
502;507;226.4602;-241.7457;0.2874;Toluene/pXylene p444 1/7
502;1761;537.4434;21.7626;0.301;1 Toluene/ Nitroethane p385 1/7
502;1844;1063.2839;192.0041;0.289;8 Toluene/Dimethylsulfoxide p386 1/7
