main;group;subgroup;no.;Ri;Qi;Example;Sample groups
37;ClCC;CI{C=C};69;0.5229;0.7391;Trichloroethylene;1*CH==C 3*Cl{C=C}
38;ACF;ACF;71;0.8814;0.7269;Hexafluorobenzene;6*ACF
39;DMF;DMF;72;2;2.093;N-N-Dimethylformamide;1*DMF
39;DMF;HCON(CH2)2;73;2.381;1.522;N-N-Diethylformamide;2*CH3 1*HCON(CH2)2
40;CF2;CF3;74;1.284;1.266;1-1-1-Trifluoroethane;1*CH3 1*CF3
40;CF2;CF2;75;1.284;1.098;Perfluorohexane;2*CF3 4*CF2
40;CF2;CF;76;0.8215;0.5135;Perfluoromethylcyclohexane;1*CF3 5*CF2 1*CF
41;COO;COO;77;1.6;0.9;Methylacrylate;1*CH3 1*CH2=CH 1*COO
42;c-CH2;c-CH2;78;0.7136;0.8635;Cyclohexane;6*c-CH3
42;c-CH2;c-CH;79;0.3479;0.1071;Methylcyclohexane;1*CH3 5*c-CH2 1*c-CH
42;c-CH2;c-C;80;0.347;0;1-1-Dimethylcyclohexane;2*CH3 5*c-CH2 1*c-C
43;c-CH2O;c-CH2O[1/2 CH2];83;1.4046;1.4;1-3-Dioxane;1*c-CH2 2*c-CH2O[1/2 CH2]
43;c-CH2O;c-CH2O;84;1.0413;1.0116;1-3-5-Trioxane;3*c-CH2O
43;c-CH2O;c-CH2OCH2;27;1.7023;1.8784;Tetrahydrofuran;2*c-CH2 1*c-CH2OCH2
44;HCOOH;HCOOH;43;0.8;1.2742;Formicacid;1*HCOOH
45;CHCl3;CHCl3;50;2.45;2.8912;Chloroform;1*CHCl3
46;c-CONC;c-CON-CH3;86;3.9810;3.2000;N-Methylpyrrolidone_;1*c-CON-CH3 3*c-CH2
46;c-CONC;c-CON-CH2;87;3.7543;2.892;N-Ethylpyrrolidone;1*c-CON-CH2 3*c-CH2 1*CH3
46;c-CONC;c-CON-CH;88;3.5268;2.58;N-Isopropylpyrrolidone;1*c-CON-CH 3*c-CH2 2*CH3
46;c-CONC;c-CON-C;89;3.2994;2.352;N-Tert-Butylpyrrolidone;1*c-CON-C 3*c-CH2 3*CH3
47;CONR;CONH2;91;1.4515;1.2480;Acetamide;1*CONH2 1*CH3
47;CONR;CONHCH3;92;1.5000;1.0800;N-Methylacetamide;1*CH3 1*CONHCH3
47;CONR;CONHCH2;100;1.5000;1.0800;N-Ethylacetamide;2*CH3 1*CONHCH2
48;CONR2;CON(CH3)2;101;2.4748;1.9643;N.N-Dimethylacetamide;1*CH3 1*CON(CH3)2
48;CONR2;CON(CH3)CH2;102;2.2739;1.5754;N-N-Methylethylacetamide;2*CH3 1*CONCH2(CH3)
48;CONR2;CON(CH2)2;103;2.0767;1.1866;N-N-Diethylacetamide;3*CH3 1*CON(CH2)2
52;Thiophene;AC2H2S;104;1.7943;1.34;Thiophene;2*ACH 1*AC2H2S
52;Thiophene;AC2HS;105;1.6282;1.06;2-Methylthiophene;1*CH3 2*ACH 1*AC2HS
52;Thiophene;AC2S;106;1.4621;0.78;2,5-Dimethylthiophene;2*CH3 2*ACH 1*AC2S
53;Epoxides;H2COCH;107;1.3601;1.8031;1.2-Propyleneoxide;1*H2COCH 1*CH3
53;Epoxides;COCH;108;0.6830;0.3418;Trimethyloxirane;1*COCH 3*CH3
53;Epoxides;HCOCH;109;0.9104;0.6538;2.3-Epoxybutane;1*HCOCH 2*CH3
53;Epoxides;H2COCH2;119;1.0630;1.1230;Ethyleneoxide;1*H2COCH2
53;Epoxides;H2COC;153;0.9104;0.6538;1.2-epoxy-2-methylpropane;1*H2COC 2*CH3 
55;Carbonate;(CH3O)2CO;112;2.4200;2.4976;Dimethylcarbonate;1*(CH3)2CB
55;Carbonate;(CH2O)2CO;113;2.4200;2.0018;Diethylcarbonate;1*(CH2O)2CO 2*CH3
55;Carbonate;(CH3O)COOCH2;114;2.4200;2.2497;Ethylmethylcarbonate;1*(CH3O)COOCH2 1*CH3  
56;Sulfone;CH2SuCH2;110;2.687;2.12;Sulfolane;1*CH2SuCH2 2*cy-CH2
56;Sulfone;CH2SuCH;111;2.46;1.808;2.4-Dimethylsulfolane;1*CH2SuCH 2*CH3 1*cy-CH2 1*cy-CH
